video_title,video_length,video_views,published_date,tournament
Frostbite 2020 SSBU Pools - SG8 | Kome (Shulk) Vs. Frostbite | Zinoto (Diddy) Smash Ultimate Singles,PT9M13S,6477,2020-02-23T00:28:29Z,Frostbite 2020
Frostbite 2020 SSBU Pools - HSE | Ksev (Snake) Vs. Kola (Roy) Smash Ultimate Singles,PT12M31S,3915,2020-02-23T00:38:21Z,Frostbite 2020
"Frostbite 2020 SSBU Pools - MVG | ScAtt (Mega Man, Snake) Vs. R2G | Paseriman (Fox) Ultimate Singles",PT7M4S,9257,2020-02-23T00:35:15Z,Frostbite 2020
Frostbite 2020 SSBU Pools - R2G | Gackt (Ness) Vs FRKS | Grayson (ROB) Smash Ultimate Singles,PT8M25S,10626,2020-02-23T00:41:56Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Gomakenpi  (Hero) Vs. Mystearica (Palutena) Smash Ultimate Singles,PT8M17S,3910,2020-02-23T00:42:24Z,Frostbite 2020
Frostbite 2020 SSBU Pools - djb | MattyG (Chrom) Vs. Ned (Pokémon Trainer) Smash Ultimate Singles,PT6M38S,4908,2020-02-23T00:56:57Z,Frostbite 2020
Frostbite 2020 SSBU Pools - TG | Raito (Duck Hunt) Vs. MuteAce (Palutena) Smash Ultimate Singles,PT15M41S,11619,2020-02-23T01:06:13Z,Frostbite 2020
Frostbite 2020 SSBU Pools - MVG | Dark Wizzy (Mario) Vs. RNG | Ryuga (Ike) Ultimate Singles,PT12M25S,56184,2020-02-23T01:16:22Z,Frostbite 2020
Frostbite 2020 SSBU Pools - SSG | Maister (Mr. G&W) Vs kept (Villager) Smash Ultimate Singles,PT7M53S,16709,2020-02-23T01:29:33Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Wrath (Sonic) Vs. LINH | Magister (Incineroar) Smash Ultimate Singles,PT10M24S,11058,2020-02-23T01:40:23Z,Frostbite 2020
"Frostbite 2020 SSBU Pools - Solary | Glutonny (Wario) Vs. EMG | Blacktwins (Pichu, Mario) Singles",PT7M43S,8808,2020-02-23T14:21:16Z,Frostbite 2020
Frostbite 2020 SSBU Pools - NAKAT (Ice Climbers) Vs. Armada | Myran (Olimar) Smash Ultimate Singles,PT6M28S,4384,2020-02-23T01:56:56Z,Frostbite 2020
Frostbite 2020 SSBU Pools - SG8 | Tea (Pac-Man) Vs. AGN | San (Ike) Smash Ultimate Singles,PT7M51S,8973,2020-02-23T01:59:24Z,Frostbite 2020
"Frostbite 2020 SSBU Pools - Fatality (Mario, Captain Falcon) Vs. Aaron (Diddy Kong) Ultimate Singles",PT8M7S,36148,2020-02-23T02:02:06Z,Frostbite 2020
Frostbite 2020 SSBU Pools - AcaRa | BANG!  (Diddy Kong) Vs. MkLeo (Joker) Smash Ultimate Singles,PT8M54S,30207,2020-02-23T02:09:24Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Rogue | Light (Fox) Vs. SnR | king_chris (ZSS) Smash Ultimate Singles,PT6M23S,10269,2020-02-23T02:19:57Z,Frostbite 2020
"Frostbite 2020 SSBU Pools - eUnited | Samsora (Peach) Vs 16B | LingLing (Daisy, Peach) Smash Singles",PT10M9S,13654,2020-02-23T02:21:32Z,Frostbite 2020
Frostbite 2020 SSBU Pools - PG | Marss (ZSS) Vs. GotE | VinnyG (Snake) Smash Ultimate Singles,PT7M57S,10524,2020-02-23T02:46:37Z,Frostbite 2020
Frostbite 2020 SSBU Pools - HPT | Rickles (Ganondorf) Vs. Charliedaking (Wolf) Ultimate Singles,PT8M20S,74935,2020-02-23T02:36:47Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Pandarian (Pokémon Trainer) Vs. SSG | Leon (Bowser) Ultimate Singles,PT7M23S,45192,2020-02-23T02:40:57Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Myran (Olimar) Vs. DLX | varun (Wii Fit Trainer) Smash Ultimate Singles,PT10M35S,7940,2020-02-23T02:48:52Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Armada | Prodigy (Mario) Vs. Riddles (Terry) Smash Ultimate Singles,PT10M2S,125650,2020-02-23T02:53:12Z,Frostbite 2020
Frostbite 2020 SSBU Pools - APE | Goblin (Roy) Vs. CLG | Void (Sheik) Smash Ultimate Singles,PT8M18S,115944,2020-02-23T03:02:33Z,Frostbite 2020
Frostbite 2020 SSBU Pools - GW | zackray (Joker) Vs. ET | EKING (Pac-Man) Smash Ultimate Singles,PT13M35S,25951,2020-02-23T03:09:49Z,Frostbite 2020
Frostbite 2020 SSBU Pools - SST | Shuton (Olimar) Vs. Aaron (Diddy Kong) Smash Ultimate Singles,PT12M43S,9100,2020-02-23T03:27:36Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Armada | Elegant (Luigi) Vs. Snatcher (Ice Climbers) Ultimate Singles -,PT6M37S,12342,2020-02-23T03:29:47Z,Frostbite 2020
Frostbite 2020 SSBU Pools - R2G | Kameme (Wario) Vs. POW | MastaMario (Mario) Smash Ultimate Singles,PT8M54S,15234,2020-02-23T03:36:57Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Illuz | Raffi-X (ROB) Vs. Toast (Young Link) Smash Ultimate Singles,PT10M59S,8932,2020-02-23T03:43:54Z,Frostbite 2020
Frostbite 2020 SSBU Pools - TSM | Tweek (Wario) Vs. Ven (Zelda) Smash Ultimate Singles,PT10M5S,23172,2020-02-23T03:44:55Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Armada | BestNess (Ness) Vs. UGS | Ravenking (Ike) Ultimate Singles,PT9M43S,28416,2020-02-23T04:10:40Z,Frostbite 2020
Frostbite 2020 SSBU Winners Top 96 - PG | Marss (ZSS) Vs. SSG | LeoN (Bowser) Ultimate Singles,PT10M1S,86312,2020-02-23T16:45:26Z,Frostbite 2020
Frostbite 2020 SSBU Winners Top 96 - Roxas (Joker) Vs. R2G | Paseriman (Fox) Smash Ultimate Singles,PT10M34S,7065,2020-02-23T16:46:17Z,Frostbite 2020
Frostbite 2020 SSBU Winners Top 96 - PG | Marss (ZSS) Vs. SSG | LeoN (Bowser) Ultimate Singles,PT10M1S,86312,2020-02-23T16:45:26Z,Frostbite 2020
Frostbite 2020 SSBU Winners Top 96 - Roxas (Joker) Vs. R2G | Paseriman (Fox) Smash Ultimate Singles,PT10M34S,7065,2020-02-23T16:46:17Z,Frostbite 2020
Frostbite 2020 SSBU Winners Top 96 - SST | Shuton (Olimar) Vs. Armada | Elegant (Luigi) Singles,PT12M16S,36223,2020-02-23T16:53:47Z,Frostbite 2020
Frostbite 2020 SSBU Winners Top 96 - Liquid | Dabuz (Rosalina) Vs. MuteAce (Peach) Ultimate Singles,PT15M43S,6764,2020-02-23T17:19:26Z,Frostbite 2020
"Frostbite 2020 SSBU Winners Top 96 - djb | MattyG (Chrom, Wolf) Vs. SSG | Maister (Mr. G&W) Singles",PT14M54S,9935,2020-02-23T17:23:18Z,Frostbite 2020
Frostbite 2020 SSBU Winners Top 96 - eUnited | Samsora (Peach) Vs. Charliedaking (Wolf) Singles,PT16M20S,19184,2020-02-23T17:21:52Z,Frostbite 2020
"Frostbite 2020 SSBU Winners Top 96 - R2G | Kameme (Sheik, Wario) Vs. Toast (Young Link) Singles",PT17M2S,30083,2020-02-23T17:49:43Z,Frostbite 2020
Frostbite 2020 SSBU Winners Top 96 - FRKS | Grayson (ROB) Vs. MVG | Dark Wizzy (Mario) Singles,PT24M17S,19024,2020-02-23T18:09:05Z,Frostbite 2020
Frostbite 2020 SSBU Winners Top 96 - PG | Marss (ZSS) Vs. R2G | Paseriman (Fox) Ultimate Singles,PT10M12S,53585,2020-02-23T17:55:34Z,Frostbite 2020
Frostbite 2020 SSBU Winners Top 96 - eUnited | Samsora (Peach) Vs. Toast (Young Link) Smash Ultimate,PT15M,71707,2020-02-23T18:13:49Z,Frostbite 2020
Frostbite 2020 SSBU Winners Top 96 - IluZ | Raffi-X (ROB) Vs. SSG | LeoN (Bowser) Ultimate Singles,PT16M39S,11729,2020-02-23T18:21:17Z,Frostbite 2020
Frostbite 2020 SSBU Winners Top 32 - Liquid | Dabuz (Rosalina) Vs. Armada | Elegant (Luigi) Singles,PT25M30S,55252,2020-02-23T18:34:27Z,Frostbite 2020
Frostbite 2020 SSBU Losers Top 32 - R2G | Kameme (Wario) Vs. Charliedaking (Wolf) Ultimate Singles,PT17M2S,9023,2020-02-23T18:40:37Z,Frostbite 2020
Frostbite 2020 SSBU Losers Top 96 - FRKS | Grayson (ROB) Vs. djb | MattyG (Chrom) Ultimate Singles,PT17M30S,5920,2020-02-23T18:55:57Z,Frostbite 2020
Frostbite 2020 SSBU Winners Top 32 - MVG | Dark Wizzy (Mario) Vs. SSG | Maister (Mr. G&W) Singles,PT19M36S,39226,2020-02-23T19:04:44Z,Frostbite 2020
Frostbite 2020 SSBU Winners Top 96 - SG8 | Kome (Shulk) Vs. DNG | Nietono (Pichu) Ultimate Singles,PT15M52S,8529,2020-02-23T19:07:34Z,Frostbite 2020
Frostbite 2020 SSBU Winners Top 96 - MkLeo (Joker) Vs. Armada | Prodigy (Mario) Smash Ultimate,PT11M18S,599665,2020-02-23T19:11:14Z,Frostbite 2020
Frostbite 2020 SSBU Losers Top 96 - Mazer | NAKAT (Pichu) Vs. Comet (Fox) Smash Ultimate Singles,PT10M1S,3943,2020-02-23T19:17:01Z,Frostbite 2020
Frostbite 2020 SSBU Winners Top 96 - Solary | Glutonny (Wario) Vs. Wrath (Sonic) Ultimate Singles,PT20M52S,31685,2020-02-23T19:39:37Z,Frostbite 2020
Frostbite 2020 SSBU Winners Top 96 - SG8 | Tea (Pac-Man) Vs. Mystearica (Palutena) Ultimate Singles,PT18M45S,10970,2020-02-23T19:41:53Z,Frostbite 2020
Frostbite 2020 SSBU Losers Top 96 - Cosmos (Inkling) Vs. Gooshi | ???? (Icies) Ultimate Singles,PT23M8S,13054,2020-02-23T19:49:16Z,Frostbite 2020
Frostbite 2020 SSBU Winners Top 96 - Rogue | Light (Fox) Vs. DLX | varun (Wii Fit Trainer) Singles,PT12M7S,8685,2020-02-23T19:50:21Z,Frostbite 2020
